code,name,group,city,state,region,stateCode
AR00003,A Square Technologies,Corporate,Mohali,Punjab,Northern,PB
AR00013,Aaspire Products,Corporate,Mumbai,Maharashtra,Western,MH
AR00017,AD Gift Resources,Corporate,Delhi,Delhi,Northern,DL
AR00028,Agrawal And Sons,Distributo,Ghaziabad,Uttar Pradesh,Northern,UP
AR02097,Alkem Laboratories Limited,Corporate,Mumbai,Maharashtra,Western,MH
AR00032,All Gift Studio Pvt Ltd,Corporate,Ahmedabad,Gujarat,Western,GJ
AR00035,Alpash Plastics,Corporate,Delhi,Delhi,Northern,DL
AR00036,Amit Enterprises,Corporate,Pune,Maharashtra,Western,MH
AR00040,Appropriate,Corporate,Delhi,Delhi,Northern,DL
AR00044,AS Enterprises,Corporate,Delhi,Delhi,Northern,DL
AR00045,Ashana Enterprises,Corporate,Delhi,Delhi,Northern,DL
AR00063,Bhagwati Enterprises,Distributo,Hyderabad,Telangana,Southern,TS
AR00066,Big Imports and Gifts,Corporate,Mumbai,Maharashtra,Western,MH
AR00067,Birchand And Sons,Distributo,Ludhiana,Punjab,Northern,PB
AR00075,Center Point,Other,Delhi,Delhi,Northern,DL
AR00080,Color Palette Pvt. Ltd.,Corporate,Delhi,Delhi,Northern,DL
AR00082,Compliments,Corporate,Pune,Maharashtra,Western,MH
AR00088,Computer World,Distributo,Indore,Madhya Pradesh,Central,MP
AR00089,Concepts and Solutions Event Services Pvt.Ltd.,Corporate,Delhi,Delhi,Northern,DL
AR00096,Corporate Solutions Janakpuri,Corporate,Delhi,Delhi,Northern,DL
AR00752,Creation Ink,Corporate,Gurgaon,Haryana,Northern,HR
AR00097,Creations Overseas,Corporate,Hyderabad,Telangana,Southern,TS
AR00098,Creative Nest Enterprises,Corporate,Mumbai,Maharashtra,Western,MH
AR00099,Creo Solutions (New),Corporate,Delhi,Delhi,Northern,DL
AR00112,Devlakshmi Sales,Corporate,Delhi,Delhi,Northern,DL
AR00119,Discovery Shoppe,Distributo,Nagpur,Maharashtra,Western,MH
AR00129,Economic Gateway Consultants Pvt. Ltd,Corporate,Delhi,Delhi,Northern,DL
AR00136,Excel Systems,Distributo,Mumbai,Maharashtra,Western,MH
AR00142,Five By Seven Solution Pvt. Ltd.,Corporate,Delhi,Delhi,Northern,DL
AR00487,GIFT N PRINT,Corporate,Pune,Maharashtra,Western,MH
AR00161,Giftease Technologies Pvt Ltd.,Corporate,Pune,Maharashtra,Western,MH
AR00168,Goldendays Creation Pvt. Ltd.,Corporate,Delhi,Delhi,Northern,DL
